Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
35,35027.0,Etobicoke Centre,44270,3276369000.0,50940,2524001000,Ontario,Etobicoke Centre,114910,88440,231,61802,99.5,303,0.5,62105,70.2,Liberal
35,35028.0,Etobicoke--Lakeshore,49060,3519910000.0,54540,2818017000,Ontario,Etobicoke--Lakeshore,115437,93880,237,64508,99.5,307,0.5,64815,69.0,Liberal
35,35029.0,Etobicoke North,45450,1556693000.0,47890,1253185000,Ontario,Etobicoke North,117601,69942,176,42064,99.4,257,0.6,42321,60.5,Liberal
35,35030.0,Flamborough--Glanbrook,40100,2598424000.0,42910,1880352000,Ontario,Flamborough--Glanbrook,97081,79397,213,55510,99.6,220,0.4,55730,70.2,Conservative
35,35031.0,Glengarry--Prescott--Russell,44070,2405600000.0,45380,1890200000,Ontario,Glengarry--Prescott--Russell,106240,86010,260,64173,99.4,399,0.6,64572,75.1,Liberal
35,35032.0,Guelph,48680,2856438000.0,53330,2217268000,Ontario,Guelph,121688,98453,243,69868,99.6,298,0.4,70166,71.3,Liberal
35,35033.0,Haldimand--Norfolk,45800,2327915000.0,47750,1629975000,Ontario,Haldimand--Norfolk,108051,83220,227,55990,99.4,312,0.6,56302,67.7,Conservative
35,35034.0,Haliburton--Kawartha Lakes--Brock,45640,2327186000.0,47760,1747217000,Ontario,Haliburton--Kawartha Lakes--Brock,110182,91802,260,61834,99.7,203,0.3,62037,67.6,Conservative
35,35035.0,Hamilton Centre,38260,1467115000.0,38760,1214669000,Ontario,Hamilton Centre,101932,69598,198,41083,99.3,269,0.7,41352,59.4,NDP
35,35036.0,Hamilton East--Stoney Creek,41050,1979785000.0,44740,1496866000,Ontario,Hamilton East--Stoney Creek,107786,80639,217,50332,99.4,293,0.6,50625,62.8,Liberal
35,35037.0,Hamilton Mountain,39300,1797317000.0,44160,1486362000,Ontario,Hamilton Mountain,103615,77581,205,50554,99.4,307,0.6,50861,65.6,NDP
35,35038.0,Hamilton West--Ancaster--Dundas,41860,2711984000.0,46710,2135294000,Ontario,Hamilton West--Ancaster--Dundas,109535,86222,228,62279,99.6,272,0.4,62551,72.5,Liberal
35,35039.0,Hastings--Lennox and Addington,38360,1828735000.0,39740,1378400000,Ontario,Hastings--Lennox and Addington,92528,72972,219,49797,99.6,199,0.4,49996,68.5,Liberal
35,35040.0,Huron--Bruce,43580,2621356000.0,44800,1709709000,Ontario,Huron--Bruce,104842,80731,244,58245,99.6,232,0.4,58477,72.4,Conservative
35,35041.0,Kanata--Carleton,41310,3087930000.0,44320,2173259000,Ontario,Kanata--Carleton,100846,80433,210,63323,99.7,191,0.3,63514,79.0,Liberal
35,35042.0,Kenora,22080,985720000.0,22980,712226000,Ontario,Kenora,55977,44306,152,30752,99.5,144,0.5,30896,69.7,Liberal
35,35043.0,King--Vaughan,49430,3584282000.0,52670,2395040000,Ontario,King--Vaughan,109235,86158,231,54686,99.5,290,0.5,54976,63.8,Liberal
35,35044.0,Kingston and the Islands,41970,2328244000.0,48070,2048660000,Ontario,Kingston and the Islands,116996,93872,255,65772,99.6,242,0.4,66014,70.3,Liberal
