,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
157,24040,Laval--Les ÃŽles,22.00%,28.00%,22.00%,28.00%,Quebec,Liberal
158,35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,19.00%,33.00%,31.00%,16.00%,Ontario,Conservative
159,48026,Lethbridge,19.00%,35.00%,24.00%,22.00%,Alberta,Conservative
160,24042,LÃ©vis--LotbiniÃ¨re,19.00%,25.00%,29.00%,27.00%,Quebec,Conservative
161,35052,London North Centre,14.00%,28.00%,22.00%,35.00%,Ontario,Liberal
162,35053,London West,13.00%,27.00%,26.00%,34.00%,Ontario,Liberal
163,35051,London--Fanshawe,23.00%,35.00%,28.00%,14.00%,Ontario,NDP
164,10005,Long Range Mountains,31.00%,29.00%,27.00%,13.00%,Newfoundland and Labrador,Liberal
165,24041,Longueuil--Charles-LeMoyne,27.00%,29.00%,21.00%,23.00%,Quebec,Liberal
166,24043,Longueuil--Saint-Hubert,22.00%,26.00%,23.00%,29.00%,Quebec,NDP
167,24044,Louis-HÃ©bert,9.00%,18.00%,25.00%,48.00%,Quebec,Liberal
168,24045,Louis-Saint-Laurent,16.00%,26.00%,28.00%,29.00%,Quebec,Conservative
169,13005,Madawaska--Restigouche,31.00%,31.00%,24.00%,14.00%,New Brunswick/Nouveau-Brunswick,Liberal
170,11004,Malpeque,18.00%,30.00%,30.00%,22.00%,Prince Edward Island,Liberal
171,24046,Manicouagan,37.00%,26.00%,23.00%,14.00%,Quebec,Bloc QuÃ©bÃ©cois
172,24065,Marc-AurÃ¨le-Fortin,19.00%,27.00%,26.00%,28.00%,Quebec,Liberal
173,35054,Markham--Stouffville,15.00%,28.00%,20.00%,38.00%,Ontario,Liberal
174,35055,Markham--Thornhill,21.00%,31.00%,15.00%,33.00%,Ontario,Liberal
175,35056,Markham--Unionville,15.00%,26.00%,16.00%,44.00%,Ontario,Conservative
176,48027,Medicine Hat--Cardston--Warner,25.00%,36.00%,26.00%,14.00%,Alberta,Conservative
177,24047,MÃ©gantic--L'Ã‰rable,37.00%,29.00%,23.00%,12.00%,Quebec,Conservative
178,35057,Milton,12.00%,26.00%,24.00%,39.00%,Ontario,Conservative
179,24048,Mirabel,27.00%,30.00%,26.00%,17.00%,Quebec,Bloc QuÃ©bÃ©cois
180,13006,Miramichi--Grand Lake,31.00%,34.00%,24.00%,11.00%,New Brunswick/Nouveau-Brunswick,Liberal
181,59017,Mission--Matsqui--Fraser Canyon,25.00%,40.00%,20.00%,15.00%,British Columba,Liberal
182,35058,Mississauga Centre,13.00%,27.00%,18.00%,42.00%,Ontario,Liberal
183,35059,Mississauga East--Cooksville,19.00%,30.00%,21.00%,31.00%,Ontario,Liberal
184,35060,Mississauga--Erin Mills,12.00%,25.00%,19.00%,44.00%,Ontario,Liberal
185,35061,Mississauga--Lakeshore,15.00%,28.00%,21.00%,36.00%,Ontario,Liberal
186,35062,Mississauga--Malton,19.00%,29.00%,18.00%,34.00%,Ontario,Liberal
187,35063,Mississauga--Streetsville,13.00%,28.00%,21.00%,38.00%,Ontario,Liberal
188,13007,Moncton--Riverview--Dieppe,17.00%,31.00%,27.00%,25.00%,New Brunswick/Nouveau-Brunswick,Liberal
189,24049,Montarville,15.00%,25.00%,26.00%,34.00%,Quebec,Liberal
190,24050,Montcalm,34.00%,30.00%,23.00%,13.00%,Quebec,Bloc QuÃ©bÃ©cois
191,24051,Montmagny--L'Islet--Kamouraska--RiviÃ¨re-du-Loup,33.00%,27.00%,24.00%,16.00%,Quebec,Conservative
192,24052,Mont-Royal,13.00%,22.00%,18.00%,47.00%,Quebec,Liberal
